time	pwm_percent
1684770601025368	2
1684770604032476	7
1684770607045914	12
1684770610059281	17
1684770613074306	22
1684770616075352	27
1684770619088353	32
1684770622096963	37
1684770625107251	42
1684770628120158	47
1684770631127954	52
1684770634144826	57
1684770637156567	62
1684770640163460	67
1684770643179780	72
1684770646193384	77
1684770649204112	82
1684770652221010	87
1684770655235112	92
1684770658243264	97
1684770661250534	100
1684770664264388	95
1684770666273388	90
1684770668278176	85
1684770670287292	80
1684770672298299	75
1684770674307357	70
1684770676322968	65
1684770678331159	60
1684770680341004	55
1684770682351040	50
1684770684358039	45
1684770686369792	40
1684770688373099	35
1684770690374100	30
1684770692383098	25
1684770694398098	20
1684770696409164	15
1684770698421245	10
1684770700432608	5
