time	pwm_percent
1684771099291821	2
1684771102294727	7
1684771105299198	12
1684771108312924	17
1684771111315930	22
1684771114320890	27
1684771117331526	32
1684771120341567	37
1684771123343566	42
1684771126352527	47
1684771129358322	52
1684771132369954	57
1684771135379458	62
1684771138387526	67
1684771141388530	72
1684771144396574	77
1684771147408370	82
1684771150410562	87
1684771153426201	92
1684771156429032	97
1684771159433756	100
1684771162440796	95
1684771164446872	90
1684771166457913	85
1684771168467508	80
1684771170481033	75
1684771172487548	70
1684771174488552	65
1684771176499549	60
1684771178503703	55
1684771180516801	50
1684771182529939	45
1684771184532028	40
1684771186544896	35
1684771188558698	30
1684771190562102	25
1684771192576100	20
1684771194590328	15
1684771196591388	10
1684771198597586	5
