time	pwm_percent
1684861138708311	2
1684861141720207	7
1684861144724194	12
1684861147733502	17
1684861150738855	22
1684861153747458	27
1684861156759628	32
1684861159774602	37
1684861162789699	42
1684861165804694	47
1684861168807754	52
1684861171822957	57
1684861174833730	62
1684861177844264	67
1684861180848641	72
1684861183862565	77
1684861186878909	82
1684861189889900	87
1684861192894531	92
1684861195898263	97
1684861198901264	100
1684861201917676	95
1684861203930089	90
1684861205938233	85
1684861207940084	80
1684861209954967	75
1684861211971701	70
1684861213975262	65
1684861215986992	60
1684861218002281	55
1684861220017574	50
1684861222027852	45
1684861224030397	40
1684861226034626	35
1684861228042755	30
1684861230053177	25
1684861232068578	20
1684861234082911	15
1684861236096433	10
1684861238099773	5
