time	pwm_percent
1684238267197261	2
1684238270201020	7
1684238273214944	12
1684238276229084	17
1684238279245082	22
1684238282260055	27
1684238285269418	32
1684238288277930	37
1684238291290958	42
1684238294293228	47
1684238297305480	52
1684238300307867	57
1684238303308754	62
1684238306323962	67
1684238309338022	72
1684238312339775	77
1684238315355806	82
1684238318371172	87
1684238321384836	92
1684238324396906	97
1684238327402307	100
