time	pwm_percent
1684944903802086	2
1684944906806048	7
1684944909813145	12
1684944912825899	17
1684944915831894	22
1684944918839696	27
1684944921847468	32
1684944924851053	37
1684944927853800	42
1684944930862152	47
1684944933868422	52
1684944936880247	57
1684944939887546	62
1684944942904442	67
1684944945908438	72
1684944948914844	77
1684944951922427	82
1684944954927626	87
1684944957933088	92
1684944960948290	97
1684944963953952	100
1684944966976439	95
1684944968989030	90
1684944970994290	85
1684944972997728	80
1684944975001654	75
1684944977001906	70
1684944979008369	65
1684944981020630	60
1684944983028778	55
1684944985043554	50
1684944987055793	45
1684944989068207	40
1684944991078473	35
1684944993085114	30
1684944995096132	25
1684944997108244	20
1684944999118383	15
1684945001125783	10
1684945003133412	5
