time	pwm_percent
1684945350577541	2
1684945353586030	7
1684945356590272	12
1684945359605877	17
1684945362611092	22
1684945365621306	27
1684945368636837	32
1684945371646871	37
1684945374661599	42
1684945377663672	47
1684945380669322	52
1684945383682770	57
1684945386686910	62
1684945389699070	67
1684945392707045	72
1684945395710215	77
1684945398716880	82
1684945401732599	87
1684945404736538	92
1684945407746948	97
1684945410754954	100
1684945413763112	95
1684945415771758	90
1684945417785478	85
1684945419787634	80
1684945421805450	75
1684945423808318	70
1684945425824226	65
1684945427833722	60
1684945429851017	55
1684945431862137	50
1684945433870850	45
1684945435884948	40
1684945437898740	35
1684945439902619	30
1684945441908104	25
1684945443917799	20
1684945445934464	15
1684945447939928	10
1684945449945637	5
