time	pwm_percent
1684945733893250	2
1684945736895131	7
1684945739912333	12
1684945742929652	17
1684945745933192	22
1684945748940194	27
1684945751948940	32
1684945754954164	37
1684945757969285	42
1684945760975194	47
1684945763978762	52
1684945766985110	57
1684945769989973	62
1684945773005390	67
1684945776011605	72
1684945779019063	77
1684945782028915	82
1684945785040468	87
1684945788046748	92
1684945791065306	97
1684945794078422	100
1684945797094468	95
1684945799097349	90
1684945801100384	85
1684945803106092	80
1684945805115077	75
1684945807120457	70
1684945809124505	65
1684945811135082	60
1684945813150440	55
1684945815158798	50
1684945817175170	45
1684945819189761	40
1684945821205565	35
1684945823222102	30
1684945825236796	25
1684945827241055	20
1684945829245968	15
1684945831256894	10
1684945833271042	5
