time	pwm_percent
1684934350978140	2
1684934353980846	7
1684934356993237	12
1684934360004452	17
1684934363014160	22
1684934366019794	27
1684934369025878	32
1684934372036077	37
1684934375038826	42
1684934378049093	47
1684934381064085	52
1684934384077046	57
1684934387089116	62
1684934390094547	67
1684934393101020	72
1684934396114664	77
1684934399121061	82
1684934402133372	87
1684934405136527	92
1684934408144700	97
1684934411161252	100
1684934414167645	95
1684934416180640	90
1684934418189848	85
1684934420194408	80
1684934422205095	75
1684934424207095	70
1684934426210247	65
1684934428214530	60
1684934430225044	55
1684934432238169	50
1684934434242776	45
1684934436250777	40
1684934438254756	35
1684934440255924	30
1684934442270423	25
1684934444282239	20
1684934446296294	15
1684934448311974	10
1684934450325077	5
