time	pwm_percent
1684933854297910	2
1684933857311104	7
1684933860320966	12
1684933863331708	17
1684933866346925	22
1684933869350073	27
1684933872358374	32
1684933875370237	37
1684933878375382	42
1684933881389516	47
1684933884398762	52
1684933887412845	57
1684933890423847	62
1684933893433500	67
1684933896445502	72
1684933899461503	77
1684933902472293	82
1684933905480106	87
1684933908483852	92
1684933911499355	97
1684933914516317	100
1684933917526677	95
1684933919542114	90
1684933921546321	85
1684933923563281	80
1684933925573320	75
1684933927574923	70
1684933929588307	65
1684933931589940	60
1684933933601653	55
1684933935613445	50
1684933937629680	45
1684933939639719	40
1684933941652496	35
1684933943660650	30
1684933945677139	25
1684933947682268	20
1684933949686606	15
1684933951699942	10
1684933953700464	5
