time	pwm_percent
1684934126726330	2
1684934129738775	7
1684934132741326	12
1684934135756238	17
1684934138769770	22
1684934141783392	27
1684934144793915	32
1684934147811660	37
1684934150818266	42
1684934153828347	47
1684934156841514	52
1684934159857791	57
1684934162864854	62
1684934165879808	67
1684934168889708	72
1684934171905868	77
1684934174917557	82
1684934177919826	87
1684934180929378	92
1684934183937524	97
1684934186945790	100
1684934189951874	95
1684934191961486	90
1684934193976821	85
1684934195990902	80
1684934197991970	75
1684934199998256	70
1684934201999666	65
1684934204015707	60
1684934206030710	55
1684934208037768	50
1684934210051856	45
1684934212054017	40
1684934214070144	35
1684934216072430	30
1684934218079576	25
1684934220086596	20
1684934222095881	15
1684934224108836	10
1684934226115876	5
