time	pwm_percent
1684860872806400	2
1684860875820912	7
1684860878836181	12
1684860881846278	17
1684860884847642	22
1684860887856848	27
1684860890864806	32
1684860893879959	37
1684860896892528	42
1684860899907537	47
1684860902915487	52
1684860905924310	57
1684860908935599	62
1684860911940448	67
1684860914947980	72
1684860917965842	77
1684860920981651	82
1684860923992508	87
1684860927001012	92
1684860930003718	97
1684860933021556	100
1684860936028925	95
1684860938036369	90
1684860940049466	85
1684860942060418	80
1684860944076236	75
1684860946086398	70
1684860948103451	65
1684860950117468	60
1684860952129446	55
1684860954138891	50
1684860956148817	45
1684860958158843	40
1684860960169484	35
1684860962181836	30
1684860964196716	25
1684860966207302	20
1684860968217493	15
1684860970228602	10
1684860972244991	5
