time	pwm_percent
1684238564564632	2
1684238567573662	7
1684238570588720	12
1684238573604048	17
1684238576620518	22
1684238579636116	27
1684238582652239	32
1684238585666275	37
1684238588667117	42
1684238591683520	47
1684238594694696	52
1684238597700108	57
1684238600713347	62
1684238603726496	67
1684238606729138	72
1684238609730775	77
1684238612743446	82
1684238615760289	87
1684238618773534	92
1684238621774548	97
1684238624787068	100
