time	volts
1684763831104291	15.383
1684763831106292	15.383
1684763831106292	15.383
1684763831107292	15.383
1684763831108292	15.383
1684763831108292	15.383
1684763831109292	15.383
1684763831111291	15.383
1684763831111291	15.382
1684763831112292	15.382
1684763831113290	15.382
1684763831113290	15.382
1684763831114292	15.382
1684763831115291	15.382
1684763831116291	15.382
1684763831116291	15.382
1684763831117292	15.382
1684763831118292	15.382
1684763831118292	15.382
1684763831119292	15.382
1684763831120291	15.382
1684763831121290	15.382
1684763831121290	15.382
1684763831122291	15.382
1684763831123291	15.382
1684763831124297	15.382
1684763831125295	15.382
1684763831126409	15.382
1684763831127292	15.382
1684763831127292	15.382
1684763831128295	15.382
1684763831129291	15.382
1684763831130291	15.382
1684763831130291	15.382
1684763831131291	15.382
1684763831131291	15.382
1684763831132292	15.382
1684763831133291	15.382
1684763831134292	15.382
1684763831135290	15.382
1684763831135290	15.382
1684763831136292	15.382
1684763831136292	15.382
1684763831137290	15.382
1684763831138292	15.382
1684763831139290	15.382
1684763831139290	15.382
1684763831140292	15.382
1684763831141290	15.382
1684763831142505	15.382
1684763831143290	15.382
1684763831143290	15.382
1684763831144290	15.382
1684763831145292	15.382
1684763831146291	15.382
1684763831146291	15.382
1684763831147292	15.382
1684763831148292	15.382
1684763831148292	15.382
1684763831149290	15.382
1684763831150292	15.382
1684763831151291	15.382
1684763831151291	15.382
1684763831152291	15.386
1684763831153292	15.386
1684763831154292	15.386
1684763831154292	15.386
1684763831155291	15.386
1684763831156291	15.386
1684763831158376	15.386
1684763831158376	15.386
1684763831159292	15.386
1684763831160292	15.386
1684763831161291	15.386
1684763831162290	15.386
1684763831162290	15.386
1684763831163291	15.386
1684763831164290	15.386
1684763831165291	15.386
1684763831165291	15.386
1684763831166291	15.386
1684763831166721	15.386
1684763831167291	15.386
1684763831168290	15.386
1684763831169291	15.386
1684763831169291	15.386
1684763831170292	15.386
1684763831171290	15.386
1684763831172290	15.386
1684763831172290	15.386
1684763831173292	14.193
1684763831174416	14.193
1684763831175290	14.193
1684763831176291	14.193
1684763831176291	14.193
1684763831177292	14.193
1684763831177292	14.193
1684763831178291	14.193
1684763831179290	14.193
1684763831180291	14.193
1684763831180291	14.193
1684763831181291	14.193
1684763831181291	14.05
1684763831182291	14.05
1684763831183290	14.05
1684763831184290	14.05
1684763831185291	14.05
1684763831185291	14.05
1684763831187333	14.05
1684763831188290	14.05
1684763831194291	14.05
1684763831195291	14.05
1684763831199290	14.05
1684763831202291	14.05
1684763831204291	14.05
1684763831206326	14.05
1684763831209292	14.05
1684763831214290	14.05
1684763831217291	14.05
1684763831218290	14.05
1684763831228290	14.05
1684763831234292	14.05
1684763831236291	14.05
1684763831241291	14.05
1684763831244291	14.05
1684763831246290	14.05
1684763831251291	14.05
1684763831254292	14.05
1684763831256291	14.05
1684763831259290	14.05
1684763831262291	14.05
1684763831264290	14.05
1684763831267643	14.254
1684763831271291	14.254
1684763831275291	14.254
1684763831276291	14.254
1684763831279290	14.254
1684763831284291	14.254
1684763831286291	14.254
1684763831289292	14.254
1684763831291290	14.254
1684763831294291	14.254
1684763831299353	14.254
1684763831301291	14.254
1684763831304291	14.254
1684763831306290	14.254
1684763831312291	14.254
1684763831314292	14.254
1684763831321291	14.254
1684763831324291	14.254
1684763831332334	14.254
1684763831332334	14.254
1684763831334529	14.254
1684763831336290	14.254
1684763831339477	14.254
1684763831344292	14.254
1684763831346290	14.254
1684763831348292	14.254
1684763831352292	14.254
1684763831356290	14.254
1684763831359791	14.254
1684763831364291	14.254
1684763831364291	14.254
1684763831366290	14.277
1684763831369290	14.277
1684763831371290	14.277
1684763831376292	14.277
1684763831379292	14.277
1684763831381291	14.277
1684763831384348	14.277
1684763831388291	14.277
1684763831394291	14.277
1684763831399291	14.277
1684763831401548	14.277
1684763831404291	14.277
1684763831407292	14.277
1684763831409292	14.277
1684763831415290	14.277
1684763831419292	14.277
1684763831424291	14.277
1684763831431606	14.277
