time	pwm_percent
1684936450858328	2
1684936453862372	7
1684936456875984	12
1684936459889057	17
1684936462905632	22
1684936465920690	27
1684936468933670	32
1684936471934107	37
1684936474945379	42
1684936477960366	47
1684936480976600	52
1684936483991807	57
1684936487006166	62
1684936490016596	67
1684936493027559	72
1684936496036889	77
1684936499048952	82
1684936502049390	87
1684936505064340	92
1684936508077417	97
1684936511093134	100
1684936514095344	95
1684936516106411	90
1684936518109287	85
1684936520122848	80
1684936522128048	75
1684936524143268	70
1684936526150410	65
1684936528155893	60
1684936530165894	55
1684936532180187	50
1684936534193187	45
1684936536210680	40
1684936538224754	35
1684936540238860	30
1684936542250348	25
1684936544264544	20
1684936546278304	15
1684936548289637	10
1684936550299636	5
