time	pwm_percent
1684936189378196	2
1684936192387162	7
1684936195401775	12
1684936198412340	17
1684936201428042	22
1684936204442193	27
1684936207457063	32
1684936210473122	37
1684936213490186	42
1684936216499105	47
1684936219512092	52
1684936222516217	57
1684936225529122	62
1684936228530122	67
1684936231543489	72
1684936234559183	77
1684936237571692	82
1684936240586844	87
1684936243598736	92
1684936246613162	97
1684936249621628	100
1684936252637288	95
1684936254639898	90
1684936256647070	85
1684936258654631	80
1684936260657028	75
1684936262672558	70
1684936264684020	65
1684936266689169	60
1684936268704170	55
1684936270714197	50
1684936272720197	45
1684936274736198	40
1684936276752266	35
1684936278755584	30
1684936280760182	25
1684936282762296	20
1684936284767668	15
1684936286769725	10
1684936288776761	5
