time	pwm_percent
1684936906288034	2
1684936909302492	7
1684936912312367	12
1684936915324000	17
1684936918336670	22
1684936921345394	27
1684936924356862	32
1684936927359423	37
1684936930369970	42
1684936933380731	47
1684936936390863	52
1684936939399772	57
1684936942414993	62
1684936945420007	67
1684936948429256	72
1684936951443488	77
1684936954457872	82
1684936957463974	87
1684936960467700	92
1684936963472535	97
1684936966475099	100
1684936969485250	95
1684936971498927	90
1684936973507173	85
1684936975512094	80
1684936977516284	75
1684936979528212	70
1684936981539548	65
1684936983543678	60
1684936985544915	55
1684936987559106	50
1684936989567671	45
1684936991573484	40
1684936993586966	35
1684936995597088	30
1684936997606766	25
1684936999611210	20
1684937001622717	15
1684937003639868	10
1684937005652091	5
