time	pwm_percent
1684936679514478	2
1684936682517450	7
1684936685527596	12
1684936688541572	17
1684936691556588	22
1684936694569516	27
1684936697577545	32
1684936700589271	37
1684936703603930	42
1684936706618938	47
1684936709625180	52
1684936712635671	57
1684936715640798	62
1684936718649987	67
1684936721651282	72
1684936724653124	77
1684936727666988	82
1684936730670014	87
1684936733682301	92
1684936736683604	97
1684936739699976	100
1684936742715204	95
1684936744727353	90
1684936746739750	85
1684936748746179	80
1684936750760577	75
1684936752762211	70
1684936754776788	65
1684936756778501	60
1684936758784393	55
1684936760792802	50
1684936762804209	45
1684936764815594	40
1684936766824689	35
1684936768837814	30
1684936770841646	25
1684936772851192	20
1684936774856896	15
1684936776872068	10
1684936778885993	5
