time	volts
1684771099313858	16.415
1684771099314820	16.415
1684771099315863	16.415
1684771099315863	16.415
1684771099316864	16.415
1684771099316864	16.415
1684771099317818	16.415
1684771099317818	16.415
1684771099318824	16.415
1684771099319822	16.415
1684771099320847	16.415
1684771099321874	16.415
1684771099321874	16.415
1684771099322870	16.415
1684771099322870	16.415
1684771099323870	16.415
1684771099324864	16.415
1684771099324864	16.415
1684771099325824	16.415
1684771099325824	16.415
1684771099326822	16.42
1684771099327822	16.42
1684771099329850	16.42
1684771099331823	16.42
1684771099334821	16.42
1684771099338833	16.42
1684771099344820	16.42
1684771099349850	16.42
1684771099351821	16.42
1684771099354818	16.42
1684771099356818	16.42
1684771099361822	16.42
1684771099364820	16.42
1684771099366820	16.42
1684771099374860	16.42
1684771099379820	16.42
1684771099381850	16.42
1684771099386855	16.42
1684771099392865	16.42
1684771099394820	16.42
1684771099397860	16.42
1684771099399860	16.42
1684771099402872	16.42
1684771099406873	16.42
1684771099409859	16.42
1684771099411859	16.42
1684771099419860	16.42
1684771099422859	16.42
1684771099427822	16.412
1684771099429859	16.412
1684771099431876	16.412
1684771099434820	16.412
1684771099437862	16.412
1684771099441852	16.412
1684771099447821	16.412
1684771099453862	16.412
1684771099454859	16.412
1684771099456862	16.412
1684771099459860	16.412
1684771099462860	16.412
1684771099474859	16.412
1684771099477860	16.412
1684771099482859	16.412
1684771099485862	16.412
1684771099487862	16.412
1684771099489859	16.412
1684771099492860	16.412
1684771099497960	16.412
1684771099500822	16.412
1684771099502859	16.412
1684771099504862	16.412
1684771099507859	16.412
1684771099510868	16.412
1684771099515866	16.412
1684771099517996	16.412
1684771099519862	16.412
1684771099522862	16.412
1684771099525818	16.412
1684771099529860	16.412
1684771099532862	16.412
1684771099535862	16.412
1684771099537863	16.412
1684771099540860	16.412
1684771099544859	16.412
1684771099547860	16.412
1684771099550820	16.412
1684771099552864	16.412
1684771099557859	16.412
1684771099560859	16.412
1684771099562861	16.412
1684771099564860	16.412
1684771099567857	16.412
1684771099577857	16.412
1684771099580857	16.412
1684771099585858	16.412
1684771099590859	16.412
1684771099595858	16.412
1684771099598858	16.412
1684771099600860	16.412
1684771099602857	16.412
1684771099605857	16.412
1684771099610857	16.412
1684771099613862	16.412
1684771099615857	16.412
1684771099617857	16.412
1684771099619857	16.412
1684771099625858	16.416
1684771099628857	16.416
1684771099630856	16.416
1684771099632862	16.416
1684771099635856	16.416
1684771099640857	16.416
1684771099642857	16.416
1684771099645861	16.416
1684771099647858	16.416
1684771099650857	16.416
1684771099653860	16.416
1684771099658860	16.416
1684771099660856	16.416
1684771099662858	16.416
1684771099665857	16.416
1684771099670820	16.416
1684771099672859	16.416
1684771099675860	16.416
1684771099677862	16.416
1684771099685859	16.416
1684771099695959	16.416
1684771099696959	16.416
1684771099698862	16.416
1684771099700862	16.416
1684771099703818	16.416
1684771099707122	16.416
1684771099710824	16.416
1684771099713820	16.416
1684771099718827	16.416
1684771099719825	16.416
1684771099723889	16.416
1684771099725823	16.411
1684771099728820	16.411
1684771099732095	16.411
1684771099733824	16.411
1684771099735820	16.411
1684771099742828	16.411
1684771099744065	16.411
1684771099745820	16.411
1684771099748823	16.411
1684771099750818	16.411
1684771099756862	16.411
1684771099758819	16.411
1684771099760864	16.411
1684771099763862	16.411
1684771099769096	16.411
1684771099776992	16.411
1684771099780818	16.411
1684771099786863	16.411
1684771099790862	16.411
1684771099797068	16.411
1684771099799819	16.411
1684771099803850	16.411
1684771099806849	16.411
1684771099808856	16.411
1684771099811820	16.411
1684771099816859	16.411
1684771099818860	16.411
1684771099821861	16.411
1684771099823861	16.411
1684771099826860	16.414
1684771099830819	16.414
1684771099836860	16.414
1684771099841820	16.414
1684771099843858	16.414
1684771099846858	16.414
1684771099848857	16.414
1684771099851858	16.414
1684771099856859	16.414
1684771099858859	16.414
1684771099861857	16.414
1684771099863857	16.414
1684771099866858	16.414
1684771099870858	16.414
1684771099876860	16.414
1684771099880857	16.414
1684771099888859	16.414
1684771099892861	16.414
1684771099893856	16.414
1684771099896857	16.414
1684771099898857	16.414
1684771099903857	16.414
1684771099906856	16.414
1684771099908860	16.414
1684771099911857	16.414
1684771099913856	16.414
1684771099918856	16.414
1684771099920858	16.414
1684771099926850	16.414
1684771099929856	16.414
1684771099933861	16.414
1684771099936858	16.414
1684771099938857	16.414
1684771099941857	16.414
1684771099946859	16.414
1684771099948860	16.414
1684771099950828	16.414
1684771099954859	16.414
1684771099956860	16.414
1684771099960920	16.414
1684771099966202	16.414
1684771099971197	16.414
1684771099973158	16.414
1684771099976202	16.414
1684771099978198	16.414
1684771099981198	16.414
1684771099986197	16.414
1684771099988193	16.414
1684771099991199	16.414
1684771099993158	16.414
1684771099996198	16.414
1684771099998202	16.414
1684771100003194	16.414
1684771100006198	16.414
1684771100008195	16.414
1684771100012198	16.414
1684771100016159	16.414
1684771100018201	16.414
1684771100021199	16.414
1684771100023199	16.414
1684771100027230	16.417
1684771100035197	16.417
1684771100038199	16.417
1684771100040199	16.417
1684771100046202	16.417
1684771100047198	16.417
1684771100051198	16.417
1684771100053200	16.417
1684771100056199	16.417
1684771100058197	16.417
1684771100061200	16.417
1684771100066198	16.417
1684771100068200	16.417
1684771100077198	16.417
1684771100078158	16.417
1684771100082198	16.417
1684771100087199	16.417
1684771100089198	16.417
1684771100091196	16.417
1684771100094202	16.417
1684771100099197	16.417
1684771100101198	16.417
1684771100104199	16.417
1684771100107200	16.417
1684771100109198	16.417
1684771100111204	16.417
1684771100116197	16.417
1684771100119204	16.417
1684771100121157	16.417
1684771100125159	16.417
1684771100129204	16.418
1684771100131198	16.418
1684771100134200	16.418
1684771100136199	16.418
1684771100139198	16.418
1684771100144198	16.418
1684771100146200	16.418
1684771100148201	16.418
1684771100151158	16.418
1684771100154197	16.418
1684771100156198	16.418
1684771100161204	16.418
1684771100164200	16.418
1684771100166198	16.418
1684771100169183	16.418
1684771100174196	16.418
1684771100177199	16.418
1684771100182196	16.418
1684771100187195	16.418
1684771100189196	16.418
1684771100192195	16.418
1684771100195195	16.418
1684771100198196	16.418
1684771100201158	16.418
1684771100209202	16.418
1684771100211198	16.418
1684771100215204	16.418
1684771100219158	16.418
1684771100222200	16.418
1684771100224198	16.418
1684771100227224	16.418
1684771100229198	16.418
1684771100234201	16.418
1684771100237158	16.418
1684771100239203	16.418
1684771100242198	16.418
1684771100244958	16.418
1684771100248201	16.418
1684771100252199	16.418
1684771100254200	16.418
1684771100257204	16.418
1684771100260198	16.418
1684771100263198	16.418
1684771100266199	16.418
1684771100269198	16.418
1684771100277413	16.418
1684771100282199	16.418
1684771100285198	16.418
1684771100287156	16.418
1684771100289201	16.418
1684771100293200	16.418
1684771100297198	16.418
1684771100300158	16.418
1684771100302201	16.418
1684771100305203	16.418
1684771100307999	16.418
