time	pwm_percent
1684860333446624	2
1684860336449868	7
1684860339457205	12
1684860342471540	17
1684860345475736	22
1684860348488882	27
1684860351491993	32
1684860354494423	37
1684860357501066	42
1684860360507752	47
1684860363510397	52
1684860366514924	57
1684860369520928	62
1684860372527062	67
1684860375531068	72
1684860378536025	77
1684860381552162	82
1684860384559219	87
1684860387566108	92
1684860390568528	97
1684860393575392	100
1684860396579280	95
1684860398585014	90
1684860400601525	85
1684860402618817	80
1684860404632854	75
1684860406643406	70
1684860408644943	65
1684860410650899	60
1684860412668502	55
1684860414675690	50
1684860416681070	45
1684860418683992	40
1684860420690156	35
1684860422707874	30
1684860424712395	25
1684860426717546	20
1684860428722152	15
1684860430737808	10
1684860432751294	5
