Time	Voltage
1684941675774154	9.831560718797846
1684941675783748	9.842868745676242
1684941675792843	9.850622821249999
1684941675801742	9.861284675163915
1684941675810316	9.851915167178959
1684941675817444	9.853207513107918
1684941675826120	9.840284053818323
1684941675833399	9.843838005122961
1684941675841920	9.842222572711762
1684941675850215	9.838022448442644
1684941675858292	9.835114670102485
1684941675865798	9.784390092390822
1684941675874039	9.808621578558814
1684941675881197	9.803452194842976
1684941675889296	9.814114048756892
1684941675896666	9.811852443381213
1684941675905747	9.777928362746025
1684941675922217	9.786651697766501
1684941675931772	9.786328611284262
1684941675940857	9.776312930334825
1684941675948052	9.747235146933235
1684941675957104	9.743358109146357
1684941675966654	9.743681195628596
1684941675975734	9.747881319897715
1684941675985044	9.70523390424205
1684941675995843	9.70523390424205
1684941676006966	9.708787855546689
1684941676018032	9.700064520526212
1684941676027062	9.660971056175185
1684941676037126	9.658063277835026
1684941676046894	9.666140439891024
1684941676053940	9.64869376985007
1684941676062398	9.626400802575517
1684941676072017	9.616062035143841
1684941676082466	9.608631046052324
1684941676091024	9.586014992295532
1684941676102417	9.58892277063569
1684941676110965	9.565660543914419
1684941676121093	9.55952190075186
1684941676130206	9.53432115513715
1684941676139910	9.56016807371634
1684941676150032	9.53109029031475
1684941676161219	9.530121030868031
1684941676172500	9.496520036715083
1684941676181257	9.498135469126282
1684941676192447	9.481011885567568
1684941676202318	9.486181269283406
1684941676213528	9.484888923354447
1684941676224638	9.450318669754779
1684941676231774	9.452580275130458
1684941676239392	9.444503113074461
1684941676249983	9.450641756237019
1684941676259360	9.442241507698782
1684941676268419	9.404117302794475
1684941676275385	9.412194464850472
1684941676282920	9.398301746114157
1684941676291362	9.404440389276715
1684941676300936	9.368254703265848
1684941676309468	9.365670011407929
1684941676317006	9.369547049194807
1684941676328405	9.339823092828738
1684941676337991	9.347254081920255
1684941676345839	9.325284201127943
1684941676354922	9.316237779625226
1684941676361512	9.325284201127943
1684941676370107	9.298468023102032
1684941676378126	9.296529504208593
1684941676387185	9.27585196934524
1684941676395816	9.271651845076121
1684941676403284	9.259374558751006
1684941676415331	9.27326727748732
1684941676426945	9.240635542781092
1684941676437049	9.236758504994214
1684941676446148	9.243866407603491
1684941676458112	9.244189494085731
1684941676467688	9.200895905465586
1684941676477303	9.18991096506943
1684941676483846	9.194434175820788
1684941676492378	9.194434175820788
1684941676504648	9.16083318166784
1684941676514710	9.155017624987522
1684941676524772	9.164710219454719
1684941676533382	9.155663797952002
1684941676540898	9.152756019611843
1684941676550023	9.114631814707536
1684941676558416	9.107846998580499
1684941676568461	9.111077863402897
1684941676577616	9.115924160636496
1684941676588263	9.081030820554588
1684941676597708	9.07359983146307
1684941676605752	9.067461188300513
1684941676615828	9.067461188300513
1684941676624911	9.032244761736365
1684941676635276	9.021259821340209
1684941676642254	9.008659448532853
1684941676651860	9.038060318416683
1684941676663929	8.985720308293821
1684941676675088	8.974089194933185
1684941676683145	8.99024351904518
1684941676691985	8.977966232720064
1684941676703026	8.96213499509031
1684941676713176	8.951150054694153
1684941676724773	8.951796227658633
1684941676734161	8.939842027815757
1684941676743863	8.900748563464731
1684941676760019	8.913672022754326
1684941676769580	8.877809423225699
1684941676779277	8.894286833819933
1684941676789270	8.871347693580901
1684941676800076	8.862947445042664
1684941676810108	8.827084845514037
1684941676821401	8.832900402194355
1684941676831426	8.79122224598541
1684941676843207	8.806407310650684
1684941676853308	8.807053483615164
1684941676862133	8.792514591914369
1684941676873924	8.784437429858372
1684941676882898	8.745990138471825
1684941676892526	8.7595597707259
1684941676901596	8.7579443383147
1684941676911589	8.737589889933588
1684941676921757	8.723374084715033
1684941676931902	8.713035317283357
1684941676943343	8.690742350008804
1684941676952959	8.691388522973284
1684941676964552	8.682019014988327
1684941676974489	8.666510863840813
1684941676985965	8.661987653089454
1684941676995414	8.64841802083538
1684941677005786	8.638725426368183
1684941677021476	8.641310118226102
1684941677030216	8.606093691661954
1684941677041145	8.600278134981636
1684941677050272	8.601570480910596
1684941677059861	8.601893567392835
1684941677071058	8.594462578301318
1684941677080087	8.59090862699668
1684941677089120	8.55795380580821
1684941677099338	8.547291951894294
1684941677107496	8.548584297823254
1684941677117638	8.555692200432532
1684941677129361	8.513367871259106
1684941677141517	8.514983303670306
1684941677151433	8.511752438847907
1684941677161478	8.513367871259106
1684941677172442	8.424842175125377
1684941677184108	8.47395132042584
1684941677193724	8.461674034100724
1684941677202999	8.406749332119944
1684941677214527	8.420642050856259
1684941677226306	8.434211683110334
1684941677237114	8.425165261607617
1684941677246348	8.379933154094033
1684941677255236	8.375733029824914
1684941677265804	8.380902413540753
1684941677275022	8.377025375753874
1684941677284225	8.356670927372761
1684941677294585	8.349239938281244
1684941677304824	8.349239938281244
1684941677313894	8.339870430296287
1684941677324223	8.307238695590058
1684941677335388	8.296253755193902
1684941677345931	8.286561160726706
1684941677355118	8.280099431081908
1684941677364960	8.262652761040954
1684941677375070	8.269114490685752
1684941677385352	8.260068069183035
1684941677396981	8.268791404203512
1684941677408231	8.228405593923526
1684941677418270	8.229051766888006
1684941677427314	8.228082507441286
1684941677437988	8.210958923882572
1684941677446078	8.171865459531546
1684941677456224	8.167665335262427
1684941677465962	8.18963521605474
1684941677476086	8.1860812647501
1684941677486208	8.123402487195563
1684941677494742	8.13277199518052
1684941677507238	8.142141503165476
1684941677515671	8.12824878442916
1684941677526278	8.090447666007094
1684941677535914	8.10046334695653
1684941677543183	8.099171001027571
1684941677551595	8.10401729826117
1684941677559939	8.105309644190129
1684941677568340	8.049738769244868
