Time	Voltage
1684513072311146	9.806359973183135
1684513072320140	9.808621578558814
1684513072325141	9.841899486229522
1684513072332152	9.784713178873062
1684513072340145	9.683587109931977
1684513072351142	9.797636638162658
1684513072356143	9.840284053818323
1684513072363144	9.838668621407123
1684513072368140	9.842222572711762
1684513072374141	9.810560097452253
1684513072378137	9.839960967336083
1684513072382138	9.600553883996326
1684513072386140	9.840930226782802
1684513072392143	9.759189346776111
1684513072397138	9.842222572711762
1684513072402137	9.838991707889363
1684513072406142	9.838991707889363
1684513072410138	9.813144789310172
1684513072415140	9.816698740614811
1684513072419141	9.840607140300563
1684513072423139	9.844807264569681
1684513072427140	9.834791583620245
1684513072431144	9.807329232629854
1684513072436142	9.839314794371603
1684513072441142	9.836083929549204
1684513072444142	9.843838005122961
1684513072449141	9.838991707889363
1684513072453142	9.813790962274652
1684513072457140	9.828976026939927
1684513072461140	9.833176151209045
1684513072465140	9.779220708674984
1684513072469143	9.839314794371603
1684513072473140	9.808621578558814
1684513072477138	9.830914545833366
1684513072481140	9.834468497138005
1684513072485141	9.843838005122961
1684513072489142	9.837699361960404
1684513072493142	9.825422075635288
1684513072498150	9.833176151209045
1684513072503152	9.842868745676242
1684513072508142	9.839314794371603
1684513072512140	9.837376275478164
1684513072518141	9.839314794371603
1684513072522140	9.81831417302601
1684513072526140	9.833822324173525
1684513072531142	9.813144789310172
1684513072535139	9.822191210812889
1684513072539139	9.838345534924883
1684513072542138	9.837699361960404
1684513072546138	9.838345534924883
1684513072552149	9.808944665041054
1684513072556139	9.829299113422167
1684513072559138	9.84965356180328
1684513072563140	9.410579032439273
1684513072567139	9.837699361960404
1684513072571138	9.815083308203612
1684513072575140	9.775989843852585
1684513072578140	9.840284053818323
1684513072582141	9.76242021159851
1684513072585141	9.809913924487773
1684513072589153	9.830914545833366
1684513072593142	9.827360594528727
1684513072597154	9.830914545833366
1684513072603144	9.758866260293871
1684513072608142	9.838668621407123
1684513072612140	9.807975405594334
1684513072618144	9.833499237691285
1684513072623141	9.466149907384533
1684513072627139	9.838991707889363
1684513072631150	9.765651076420909
1684513072636140	9.836407016031444
1684513072640137	9.815729481168091
1684513072645138	9.840607140300563
1684513072649139	9.832529978244565
1684513072653139	9.79052873555338
1684513072657137	9.828006767493207
1684513072660138	9.835114670102485
1684513072666140	9.825745162117528
1684513072669140	9.823483556741849
1684513072673137	9.825745162117528
1684513072677137	9.825098989153048
1684513072681142	9.799575157056097
1684513072685139	9.78955947610666
1684513072688178	9.830591459351126
1684513072692176	9.825745162117528
1684513072695138	9.757250827882672
1684513072699144	9.814760221721372
1684513072703182	9.81960651895497
1684513072706182	9.815729481168091
1684513072709177	9.82089886488393
1684513072712179	9.807006146147614
1684513072716140	9.799898243538337
1684513072720141	9.785682438319782
1684513072723177	9.788267130177701
1684513072727176	9.816375654132571
1684513072731147	9.366962357336888
1684513072735170	9.798605897609377
1684513072739140	9.808298492076574
1684513072751139	9.775020584405866
1684513072756138	9.793759600375779
1684513072761175	9.786651697766501
1684513072766178	9.79052873555338
1684513072770177	9.776312930334825
