time	volts
1685022395110652	16.166
1685022395111652	16.166
1685022395112974	16.166
1685022395113980	16.166
1685022395113980	16.166
1685022395113980	16.166
1685022395114980	16.166
1685022395114980	16.166
1685022395115980	16.166
1685022395116980	16.166
1685022395116980	16.166
1685022395117979	16.166
1685022395117979	16.166
1685022395118979	16.166
1685022395118979	16.166
1685022395119980	16.166
1685022395119980	16.166
1685022395120981	16.166
1685022395121981	16.166
1685022395121981	16.17
1685022395122980	16.17
1685022395122980	16.17
1685022395123979	16.17
1685022395123979	16.17
1685022395124982	16.17
1685022395124982	16.17
1685022395125980	16.17
1685022395126984	16.17
1685022395126984	16.17
1685022395126984	16.17
1685022395127982	16.17
1685022395127982	16.17
1685022395128982	16.17
1685022395128982	16.17
1685022395129980	16.17
1685022395130980	16.17
1685022395131980	16.17
1685022395131980	16.17
1685022395131980	16.17
1685022395132979	16.17
1685022395133981	16.17
1685022395133981	16.17
1685022395134981	16.17
1685022395134981	16.17
1685022395135980	16.17
1685022395135980	16.17
1685022395136983	16.17
1685022395136983	16.172
1685022395137979	16.172
1685022395138986	16.172
1685022395138986	16.172
1685022395139983	16.172
1685022395139983	16.172
1685022395139983	16.172
1685022395140982	16.172
1685022395140982	16.172
1685022395140982	16.172
1685022395140982	16.172
1685022395141987	16.172
1685022395141987	16.172
1685022395142985	16.172
1685022395143984	16.172
1685022395143984	16.172
1685022395144980	16.172
1685022395144980	16.172
1685022395144980	16.172
1685022395145979	16.172
1685022395145979	16.172
1685022395145979	16.172
1685022395146979	16.172
1685022395146979	16.172
1685022395146979	16.172
1685022395147979	16.172
1685022395147979	16.172
1685022395147979	16.172
1685022395148988	16.171
1685022395149981	16.171
1685022395149981	16.171
1685022395149981	16.171
1685022395150980	16.171
1685022395150980	16.171
1685022395150980	16.171
1685022395151979	16.171
1685022395152980	16.171
1685022395152980	16.171
1685022395153979	16.171
1685022395153979	16.171
1685022395154980	16.171
1685022395155981	16.171
1685022395155981	16.171
1685022395155981	14.669
1685022395163980	14.669
1685022395167982	14.669
